lat,lon,driver_age,driver_experience,vehicle_age,vehicle_type,speed,weather,road_type,light_condition,traffic_density,surface_condition,hour_of_day,accident_count,risk
17.54018445972487,78.37588814833728,33,12,10,3,68,0,1,0,1,0,7,13,1
17.452596795121742,78.35611354910098,66,1,13,3,90,3,2,1,2,1,3,57,2
17.543963019835896,78.38345390301248,64,9,6,0,80,1,2,0,1,1,2,10,1
17.40445546320928,78.43752151590915,29,15,11,3,76,0,1,1,1,0,12,5,1
17.355898959629865,78.40035338662257,34,32,1,1,34,0,1,0,1,0,17,4,0
17.312495678769388,78.421257640256,53,14,12,1,57,1,2,0,1,0,9,14,1
17.307081089386756,78.56289132688774,63,10,10,2,58,0,2,0,1,1,3,14,1
17.359890472666745,78.3909385067836,50,34,7,0,34,0,1,0,0,0,15,0,0
17.326278919574733,78.52093553562594,62,0,14,1,105,3,2,1,2,1,22,39,2
17.409098314857463,78.36249344329265,22,2,16,1,114,2,2,1,2,1,3,34,2
17.37330269292452,78.56585873413951,45,20,2,1,46,0,1,0,1,0,18,4,0
17.51236948742831,78.47075243735891,52,3,13,2,61,1,1,1,2,1,17,19,1
17.37538010097216,78.59838345422747,19,1,16,1,99,1,2,1,2,2,4,21,2
17.454461810050304,78.50916281457289,42,16,5,3,38,0,1,0,0,0,13,0,0
17.436122274490213,78.51146130301301,52,19,2,1,24,0,1,0,0,0,17,0,0
17.516847317994973,78.42344546284096,65,1,14,3,106,3,2,1,2,1,22,39,2
17.50426801773732,78.39159320300901,47,7,2,2,29,0,1,0,1,0,11,3,0
17.475121252512455,78.51896599935682,60,0,14,1,94,3,2,1,2,2,23,39,2
17.361051118296988,78.31288084646032,33,19,5,0,57,1,0,0,2,0,18,12,1
17.503895785058823,78.57084810351805,53,14,6,3,69,1,2,1,1,0,5,5,1
17.348344652469766,78.47818123315757,36,12,8,0,62,1,0,0,2,0,10,6,1
17.460644978951137,78.38040269510556,57,6,11,2,62,0,2,0,2,1,0,5,1
17.437245662256217,78.538008003671,66,0,12,0,111,3,2,1,2,1,2,23,2
17.543640295934193,78.34889402887477,63,1,12,2,110,1,2,1,2,1,23,37,2
17.335675089957338,78.42181856251571,22,2,19,0,101,3,2,1,2,2,2,27,2
17.39317212925308,78.44814421213708,26,37,7,2,31,0,0,0,1,0,9,2,0
17.399198220366415,78.53708482061185,26,10,5,2,61,1,1,1,2,1,11,5,1
17.350463363030737,78.58566653570928,39,6,1,2,48,0,1,0,0,0,17,4,0
17.46512298158031,78.33246612707022,20,0,13,1,101,3,2,1,2,2,4,23,2
17.373286932565254,78.34633792416699,27,10,7,0,48,0,1,0,0,0,10,4,0
17.486706793865768,78.3069439036066,18,1,14,2,107,2,2,1,2,1,2,58,2
17.39331965289318,78.56953900454356,68,1,14,0,113,3,2,1,2,1,4,46,2
17.54246970667691,78.54950911310273,42,12,1,1,53,0,0,0,0,0,11,2,0
17.51370278907932,78.3494024761551,21,0,13,1,89,3,2,1,2,2,4,56,2
17.475751620708827,78.47903986101394,67,0,15,0,93,1,2,1,2,1,1,38,2
17.341700435092708,78.51267138241285,65,1,13,0,99,1,2,1,2,2,1,43,2
17.30712095263732,78.46852663576331,29,12,12,3,66,1,0,1,1,0,23,18,1
17.448403304142346,78.50577348171605,28,14,11,2,70,0,0,0,2,1,7,19,1
17.506076727204803,78.47627279329298,62,2,16,2,111,2,2,1,2,1,22,33,2
17.47723773108354,78.35024492579286,62,0,15,1,98,2,2,1,2,1,23,32,2
17.494968886464406,78.4648588607685,49,20,6,2,20,0,1,0,1,0,7,0,0
17.392660536766723,78.51230428042227,35,26,6,1,20,0,1,0,0,0,16,1,0
17.39500184106019,78.53332747626989,57,17,10,1,64,0,1,0,1,0,5,12,1
17.379443593756672,78.3506941767701,20,1,13,2,106,1,2,1,2,2,3,23,2
17.35160531794015,78.43213240509372,43,35,3,2,24,0,0,0,1,0,14,1,0
17.312447563296928,78.31722704382067,55,14,5,2,65,1,2,1,2,0,9,15,1
17.343545551663233,78.44581352234496,35,15,7,2,55,1,2,1,1,1,10,12,1
17.537473745004657,78.55416462198924,60,2,12,2,86,3,2,1,2,2,4,24,2
17.53458511420526,78.51110579323823,25,27,7,1,25,0,0,0,0,0,17,2,0
